"","cor_val","pct_strong_vec","pct_wai_vec","pct_wbc_vec","type1_error_vec","power_vec"
"1",0.1,100,80,50,0,72
"2",0.1,100,20,20,0,36
"3",0.1,100,20,50,0,48
"4",0.1,100,10,40,0,40
"5",0.1,100,90,70,6.66666666666667,84
"6",0.1,100,60,70,0,72
"7",0.1,100,30,40,0,48
"8",0.1,100,50,60,0,64
"9",0.1,100,50,70,0,68
"10",0.1,100,50,70,0,68
"11",0.1,100,60,70,0,72
"12",0.1,100,0,60,0,44
"13",0.1,100,30,50,0,52
"14",0.1,100,30,60,0,56
"15",0.1,100,30,50,0,52
"16",0.1,100,40,60,0,60
"17",0.1,100,40,60,0,60
"18",0.1,100,30,60,0,56
"19",0.1,100,40,40,0,52
"20",0.1,100,30,50,0,52
"21",0.1,100,20,50,0,48
"22",0.1,100,40,60,0,60
"23",0.1,100,0,20,0,28
"24",0.1,100,40,40,0,52
"25",0.1,100,10,60,0,48
"26",0.1,100,50,60,0,64
"27",0.1,100,40,60,0,60
"28",0.1,100,50,70,0,68
"29",0.1,100,40,60,0,60
"30",0.1,100,50,70,0,68
"31",0.1,100,10,30,0,36
"32",0.1,100,40,50,0,56
"33",0.1,100,30,60,0,56
"34",0.1,100,20,30,0,40
"35",0.1,100,20,50,0,48
"36",0.1,100,60,40,0,60
"37",0.1,100,60,40,0,60
"38",0.1,100,40,50,0,56
"39",0.1,100,30,40,0,48
"40",0.1,100,20,40,0,44
"41",0.1,100,0,0,0,20
"42",0.1,100,30,40,0,48
"43",0.1,100,60,70,0,72
"44",0.1,100,50,60,6.66666666666667,64
"45",0.1,100,30,20,0,40
"46",0.1,100,40,80,0,68
"47",0.1,100,10,20,0,32
"48",0.1,100,20,30,0,40
"49",0.1,100,30,70,0,60
"50",0.1,100,50,50,0,60
"51",0.1,100,40,70,0,64
"52",0.1,100,40,40,0,52
"53",0.1,100,60,60,0,68
"54",0.1,100,30,60,0,56
"55",0.1,100,0,20,0,28
