"","c.val","pct_strong_vec","pct_wai_vec","pct_wbc_vec","type1_error_vec","power_vec"
"1",1,100,50,20,13.3333333333333,48
"2",1,100,20,40,6.66666666666667,44
"3",1,100,60,10,13.3333333333333,48
"4",1,100,60,30,6.66666666666667,56
"5",1,100,30,0,0,32
"6",1,100,40,30,6.66666666666667,48
"7",1,100,30,10,20,36
"8",1,100,50,10,6.66666666666667,44
"9",1,100,50,20,13.3333333333333,48
"10",1,100,50,30,13.3333333333333,52
"11",1,100,20,30,6.66666666666667,40
"12",1,100,30,0,6.66666666666667,32
"13",1,100,30,10,0,36
"14",1,100,20,30,20,40
"15",1,100,20,20,13.3333333333333,36
"16",1,100,80,30,26.6666666666667,64
"17",1,100,20,0,20,28
"18",1,100,40,10,26.6666666666667,40
"19",1,100,30,30,26.6666666666667,44
"20",1,100,10,10,26.6666666666667,28
"21",1,100,40,10,0,40
"22",1,100,20,20,26.6666666666667,36
"23",1,100,50,20,26.6666666666667,48
"24",1,100,30,40,20,48
"25",1,100,30,10,6.66666666666667,36
"26",1,80,30,30,20,40
"27",1,100,40,20,26.6666666666667,44
"28",1,100,30,10,6.66666666666667,36
"29",1,100,40,20,6.66666666666667,44
"30",1,100,30,0,6.66666666666667,32
"31",1,100,30,20,20,40
"32",1,100,40,20,13.3333333333333,44
"33",1,100,40,20,26.6666666666667,44
"34",1,100,40,30,0,48
"35",1,100,20,20,6.66666666666667,36
"36",1,100,20,40,20,44
"37",1,100,20,0,20,28
"38",1,100,10,30,6.66666666666667,36
"39",1,100,20,0,26.6666666666667,28
"40",1,100,60,30,6.66666666666667,56
"41",1,80,50,10,0,40
"42",1,100,60,20,6.66666666666667,52
"43",1,100,40,10,20,40
"44",1,100,20,20,13.3333333333333,36
"45",1,100,10,30,20,36
"46",1,100,30,40,6.66666666666667,48
"47",1,100,50,40,20,56
"48",1,100,70,30,6.66666666666667,60
"49",1,100,30,20,6.66666666666667,40
"50",1,100,10,20,13.3333333333333,32
"51",1,100,20,20,0,36
"52",1,100,50,0,13.3333333333333,40
"53",1,100,70,10,20,52
"54",1,100,80,10,33.3333333333333,56
"55",1,100,50,30,6.66666666666667,52
"56",1,100,40,30,6.66666666666667,48
"57",1,100,30,10,6.66666666666667,36
