"","c.val","pct_strong_vec","pct_wai_vec","pct_wbc_vec","type1_error_vec","power_vec"
"1",1,60,0,0,0,12
"2",1,100,0,10,0,24
"3",1,80,0,0,0,16
"4",1,60,0,0,0,12
"5",1,0,0,0,0,0
"6",1,40,0,0,0,8
"7",1,100,0,10,0,24
"8",1,60,0,0,0,12
"9",1,80,10,0,0,20
"10",1,80,0,20,0,24
"11",1,0,0,0,0,0
"12",1,80,0,0,0,16
"13",1,100,0,10,0,24
"14",1,0,0,0,0,0
"15",1,80,0,0,0,16
"16",1,0,0,0,0,0
"17",1,100,0,0,0,20
"18",1,0,0,0,0,0
"19",1,80,0,0,0,16
"20",1,100,0,10,0,24
"21",1,60,0,10,0,16
"22",1,0,0,0,0,0
"23",1,100,0,20,0,28
"24",1,80,0,0,0,16
"25",1,80,0,0,0,16
"26",1,80,0,20,0,24
"27",1,100,0,10,0,24
"28",1,40,0,0,0,8
"29",1,0,0,0,0,0
"30",1,60,0,10,0,16
"31",1,80,0,0,0,16
"32",1,80,0,10,0,20
"33",1,60,0,0,0,12
"34",1,80,0,0,0,16
"35",1,100,0,10,0,24
"36",1,100,0,10,0,24
"37",1,60,0,0,0,12
"38",1,80,0,10,0,20
"39",1,60,0,0,0,12
"40",1,60,0,10,0,16
"41",1,100,0,0,0,20
"42",1,80,0,10,0,20
"43",1,40,0,0,0,8
"44",1,0,0,0,0,0
"45",1,0,0,0,0,0
"46",1,60,0,0,0,12
"47",1,100,10,20,0,32
"48",1,80,0,10,0,20
"49",1,20,0,0,0,4
"50",1,100,0,10,0,24
"51",1,20,0,0,0,4
"52",1,100,0,0,0,20
"53",1,100,0,0,0,20
"54",1,80,0,10,0,20
"55",1,80,0,0,0,16
"56",1,100,0,0,0,20
"57",1,0,0,0,0,0
"58",1,0,0,0,0,0
"59",1,0,0,0,0,0
"60",1,80,0,0,0,16
"61",1,60,0,10,0,16
"62",1,80,0,10,0,20
"63",1,80,0,10,0,20
"64",1,80,0,0,0,16
"65",1,60,0,0,0,12
"66",1,100,0,10,0,24
"67",1,60,0,0,0,12
"68",1,80,0,0,0,16
"69",1,0,0,0,0,0
"70",1,80,0,10,0,20
"71",1,80,0,0,0,16
"72",1,80,0,0,0,16
"73",1,80,0,30,0,28
"74",1,40,0,0,0,8
"75",1,100,0,0,0,20
"76",1,100,0,0,0,20
"77",1,80,0,10,0,20
"78",1,0,0,0,0,0
"79",1,100,0,10,0,24
"80",1,100,0,20,0,28
"81",1,60,0,10,0,16
"82",1,60,0,10,0,16
"83",1,100,0,10,0,24
"84",1,60,0,10,0,16
"85",1,60,0,0,0,12
"86",1,80,0,20,0,24
"87",1,80,0,0,0,16
"88",1,40,0,0,0,8
"89",1,0,0,0,0,0
"90",1,80,0,0,0,16
"91",1,80,0,0,0,16
"92",1,0,0,0,0,0
"93",1,60,0,0,0,12
"94",1,20,0,0,0,4
"95",1,0,0,0,0,0
"96",1,100,0,40,0,36
"97",1,80,0,0,0,16
"98",1,0,0,0,0,0
"99",1,80,0,0,0,16
"100",1,80,0,10,0,20
"101",3,100,50,30,0,52
"102",3,100,0,20,0,28
"103",3,100,10,40,0,40
"104",3,100,30,40,0,48
"105",3,100,10,40,0,40
"106",3,100,40,30,0,48
"107",3,100,50,40,0,56
"108",3,100,70,50,0,68
"109",3,100,70,60,0,72
"110",3,100,60,30,6.66666666666667,56
"111",3,100,10,10,0,28
"112",3,100,30,30,0,44
"113",3,100,0,30,0,32
"114",3,100,0,10,0,24
"115",3,100,40,70,0,64
"116",3,100,0,20,0,28
"117",3,100,10,40,0,40
"118",3,100,30,30,0,44
"119",3,100,0,10,0,24
"120",3,100,0,10,0,24
"121",3,100,50,40,0,56
"122",3,100,70,50,0,68
"123",3,100,50,30,0,52
"124",3,100,30,30,0,44
"125",3,100,50,40,0,56
"126",3,100,0,20,0,28
"127",3,100,10,50,0,44
"128",3,100,30,40,0,48
"129",3,100,30,30,0,44
"130",3,100,50,30,0,52
"131",3,100,0,40,0,36
"132",3,100,10,30,0,36
"133",3,100,60,60,0,68
"134",3,100,50,20,0,48
"135",3,100,40,50,0,56
"136",3,100,40,30,0,48
"137",3,100,30,20,0,40
"138",3,100,30,50,0,52
